"Customer Name","Email","Phone Number","Query","Query Date","Transaction Date","Transaction Amount","Fraud Incident"
"Crystal Porter","beverlyyoung@example.com","270.903.0059x05251","Whatever source wind that.","2022-11-10","2022-11-19",955.46,True
"John Evans","nyoung@example.org","916-649-8636","Have film condition Republican.","2023-01-08","2023-01-15",254.77,False
"Karen King","melissahoward@example.com","6039139506","Easy matter young when adult.","2023-08-04","2023-08-16",447.66,False
"Amanda King","smithmary@example.net","927-744-4132x759","Figure nature people administration responsibility popular worker.","2023-05-25","2023-05-31",916.37,False
"Richard Bonilla","allen92@example.org","+1-697-504-0367x212","School now quality cut institution boy more I.","2023-05-28","2023-06-06",671.44,False
"Gregory Barton","cathy90@example.net","243.973.2496","Still expect how six.","2022-11-26","2022-12-10",577.08,False
"Grace Park PhD","martinezsteven@example.net","001-416-619-2753","Front soldier senior own exist hard.","2023-03-29","2023-04-10",818.12,False
"Shane Nichols","darrenjohnson@example.com","6187743896","Something author natural these anything space court.","2023-08-30","2023-09-13",946.5,True
"Michael Avery","nwheeler@example.com","921.560.8239x76471","Short yes lay baby draw.","2023-08-27","2023-09-17",334.88,False
"Samuel Ryan","lisapatterson@example.com","429.735.8023","Audience company usually sense really provide above response.","2022-12-04","2022-12-11",473.9,True
"Jasmine Thompson","andersonjoseph@example.net","596.670.9036x305","Certain base million skill town hospital evidence.","2022-10-27","2022-11-19",91.3,False
"Michelle Fitzgerald","chays@example.org","+1-709-824-7875","Red recently work worker hand local inside.","2022-12-26","2023-01-09",472.73,True
"John Garcia","hhancock@example.org","515-436-6240","Establish factor as provide star.","2022-10-12","2022-10-24",895.18,False
"Phillip Castillo","plee@example.org","694.258.5539","Arm any on beat box.","2022-11-29","2022-12-07",141.67,False
"Alexander Porter","gainesderek@example.org","327-394-8793x668","Teach even civil give early audience program.","2022-11-18","2022-11-20",530.73,False
"Collin Christensen","belinda15@example.org","479.368.2457","Owner hospital player find.","2023-08-21","2023-09-07",423.64,False
"Michael Smith","teresaguerra@example.org","001-551-218-7690","Each memory discussion mission center.","2023-02-05","2023-02-08",268.21,False
"Susan Harper","reynoldsjennifer@example.com","001-537-405-3286","Face religious than in.","2023-08-08","2023-08-11",208.82,False
"Donna Maynard","michael67@example.net","(406)639-9694x3855","Establish add from standard school behavior.","2023-03-06","2023-03-12",309.67,False
"Jennifer King","grahamyvonne@example.net","628.283.8990x018","Seek simple good better.","2022-11-13","2022-11-25",328.01,False
"Emily Simpson","nicole81@example.com","604-811-3939x164","Energy travel away travel.","2023-09-12","2023-09-14",37.19,True
"Reginald Henry","deannaadams@example.net","001-311-596-7200x321","Security point want these.","2023-05-29","2023-05-30",723.05,True
"Jason Parsons","albert97@example.com","410.927.0441x900","Tell oil body.","2022-10-14","2022-10-17",546.81,True
"Don Rodriguez","markevans@example.com","648.556.6066x96298","Stay day herself.","2023-01-19","2023-01-27",282.53,False
"Stacey Zavala","megan77@example.org","+1-420-579-9445x59940","Fear run begin energy bad board material.","2022-10-18","2022-11-11",183.15,True
"Connie Rosario","xholland@example.com","354.419.4243","About close wear accept support thousand magazine.","2023-05-30","2023-06-25",433.07,False
"Renee Thompson","ronald67@example.org","001-267-596-7711x7615","Market half similar build not.","2023-04-03","2023-04-22",739.51,True
"Elizabeth Flores","bennettamanda@example.net","(968)869-2345x4911","Control bar matter second eye.","2022-09-15","2022-10-02",721.62,False
"Nicole Watson","tonya09@example.org","867.286.1792","Upon glass make.","2022-10-06","2022-10-19",543.69,False
"Crystal Jones","lorihall@example.net","(984)898-8007x447","Certainly trip operation expect.","2023-08-18","2023-09-11",676.56,False
"Michael Rogers","thomas48@example.com","+1-497-951-8307x166","May notice field seven.","2022-11-05","2022-11-10",118.8,False
