Loan_ID,Customer_Name,Loan_Amount,Interest_Rate,Loan_Term
805,James Robinson,20476.38,6.22,36
913,Jill Rodriguez,33605.51,3.09,12
83,Melissa Garcia,10122.85,9.66,36
517,Terrance Moody,14026.88,6.51,36
850,Nathaniel Lucas,42882.73,4.01,24
985,Maurice Hughes,31419.07,9.7,48
363,Zachary Morrison,46553.58,7.14,48
111,Joseph Dawson,48597.59,5.12,12
475,Chelsea Brady,22421.43,3.33,36
656,Jo Smith,15462.6,4.69,36
635,Ariana Barber,44925.43,4.68,36
283,Jeffrey Oneal,47025.96,3.1,48
290,Felicia Armstrong,45885.39,9.05,12
981,Michael Turner,41177.32,4.52,12
587,Chad Shields,22154.24,3.82,36
535,George Estrada,23197.85,6.11,36
631,Brad Bell,40073.94,4.46,60
267,Samantha Oconnell,48490.54,6.83,12
601,Jordan Beard,35038.45,5.63,48
476,Cynthia Hurst,47367.79,5.94,48
517,Omar Campbell III,40667.95,6.33,24
295,Amber Nguyen,14358.44,8.33,12
484,Sarah Cook,20862.81,9.61,60
183,Jason Jones,21876.73,8.78,36
872,Jonathan Allen,44063.91,5.45,12
557,Anthony Richardson,32877.92,3.21,48
761,Carrie Bradshaw,48646.27,4.82,24
533,Christopher Page,20895.77,8.47,24
728,Ethan Mitchell,46662.24,9.23,48
168,Theresa Lawson,23698.51,9.18,48
522,Shannon Smith,31510.54,7.11,12
476,Nicole Hall,20029.46,6.93,36
451,Sarah Thomas,24682.9,6.95,12
429,Vincent Moses,45705.37,5.33,60
67,Michael Jimenez,33411.28,8.65,48
889,Devin Perez,38709.59,8.25,12
898,Sharon Clark MD,12550.42,8.47,60
744,Scott Alexander,20558.26,3.27,60
924,Emily Nelson,40696.14,3.04,60
163,Douglas Coleman,25597.92,4.4,60
242,Donna Washington,35229.49,4.24,48
300,Kyle Harrington,17650.51,5.24,60
875,Cassandra Davis,21143.44,9.67,48
383,Drew Jackson,30962.36,8.25,48
363,Jonathon Reed,23643.49,4.21,48
110,Barbara Johnston,17349.19,4.86,24
697,Samuel Charles,30764.2,6.41,36
260,Carlos Mitchell,42522.32,3.73,36
76,Chase Shepard,11328.45,8.5,48
817,Joshua Wise,48963.89,9.07,48
735,Kelly Hudson,20675.16,3.17,36
470,Donald Montes,36494.94,3.05,36
585,Debra Crawford,35439.01,7.21,24
269,Thomas Stephens,35275.19,9.39,12
837,Christopher Hamilton,32052.35,9.64,24
229,Noah Martin,25577.52,6.52,24
916,Brandon Kline,18058.66,4.99,12
308,George Cherry,42041.77,9.25,48
728,Heather Martin,19841.53,4.31,24
939,Victor Wallace,40462.17,3.75,12
267,Steven Williams,23449.31,7.86,24
194,Jennifer Smith,25247.39,8.38,60
423,Seth Walker,12182.05,8.5,36
908,Dan Pittman,13290.58,4.09,24
16,Heather Murphy,32751.96,5.88,24
661,Amanda Williams,20689.55,5.71,48
773,Jesse Delgado,44816.09,6.87,60
319,Cody Holden,17627.06,6.73,48
221,Donna Wood,37786.04,5.26,48
724,Tracy West,10862.06,7.0,12
708,Shawn Williams,12007.86,8.38,36
455,Tina Li,15615.68,5.95,36
260,David Cox,43160.49,4.27,48
